time,cpu,mem,diskRand,diskSeq
1605731401,907.46,1753.04,33.23,23.15
1605733201,910.47,1761.05,24.12,24.26
1605735001,907.03,1761.22,38.79,19.79
1605736801,908.58,1752.54,35.00,23.83
1605738601,908.30,1760.65,35.12,19.47
1605740401,905.75,1748.59,37.22,22.69
1605742201,910.06,1768.60,33.85,21.43
1605744001,910.03,1765.94,35.20,22.18
1605745801,910.10,1762.83,33.61,19.77
1605747601,909.63,1753.48,39.93,22.49
1605749401,909.01,1760.28,35.68,22.42
1605751201,910.52,1763.78,29.28,20.07
1605753001,911.27,1768.01,30.33,19.71
1605754801,910.94,1765.31,28.16,20.35
1605756601,910.57,1764.42,22.32,20.41
1605758401,910.95,1767.25,35.16,23.71
1605760201,911.10,1757.04,32.55,19.75
1605762001,910.04,1768.21,33.72,21.24
1605763801,909.91,1769.42,30.07,18.90
1605765601,907.46,1757.30,32.73,20.09
1605767401,907.03,1758.92,33.52,18.75
1605769201,906.43,1755.47,39.71,19.79
1605771001,909.53,1758.77,31.15,20.48
1605772801,907.47,1757.75,42.35,24.09
1605774601,908.63,1756.21,34.70,40.13
1605776401,907.74,1761.89,34.81,23.70
1605778201,907.70,1753.76,33.64,20.91
1605780002,908.05,1757.21,45.68,23.68
1605781801,907.32,1753.52,33.91,23.49
1605783601,908.32,1744.81,28.17,1.56
1605785401,907.78,1754.35,11.09,1.56
1605787201,907.30,1755.10,11.29,1.56
1605789001,907.23,1754.56,10.92,1.56
1605790801,906.47,1758.27,11.12,1.56
1605792601,906.67,1754.23,11.06,1.56
1605794401,908.57,1756.93,11.08,1.54
1605796201,910.29,1761.27,11.05,1.56
1605798001,908.47,1759.93,11.07,1.56
1605799801,906.76,1757.19,10.92,1.56
1605801601,907.51,1757.78,11.20,1.55
1605803401,902.52,1739.03,10.95,1.56
1605805201,907.93,1746.84,11.18,1.56
1605807001,903.41,1744.36,10.99,1.56
1605808801,902.30,1742.95,11.18,1.56
1605810601,903.23,1748.28,10.93,1.56
1605812401,901.45,1746.48,11.12,1.56
1605814201,908.77,1756.55,11.03,1.56
1605816001,909.18,1764.27,11.13,1.56
1605817801,909.99,1760.61,11.03,1.56
1605819601,907.71,1761.51,11.29,1.56
1605821401,905.78,1752.64,10.89,1.56
1605823201,910.46,1767.08,11.14,1.56
1605825001,907.91,1765.54,11.02,1.56
1605826801,908.58,1762.02,11.27,1.56
1605828601,905.38,1757.80,10.92,1.56
1605830401,906.86,1756.81,11.27,1.56
1605832201,905.71,1753.76,10.84,1.55
1605834001,909.90,1764.13,11.07,1.56
1605835801,907.72,1758.09,11.05,1.56
1605837601,906.97,1757.35,11.19,1.54
1605839401,907.30,1759.52,10.73,1.56
1605841201,906.44,1757.10,10.98,1.56
1605843001,908.09,1759.67,11.06,1.56
1605844801,907.88,1759.36,11.13,1.55
1605846601,909.16,1765.60,10.99,1.56
1605848401,909.92,1771.13,11.22,1.56
1605850201,909.47,1769.10,11.05,1.56
1605852001,909.30,1773.82,11.03,1.56
1605853801,909.08,1770.18,11.03,1.55
1605855601,909.91,1774.77,11.02,1.56
1605857401,911.91,1781.38,11.11,1.56
1605859201,911.20,1779.16,11.10,1.56
1605861001,912.34,1782.43,11.04,1.56
1605862801,913.04,1778.02,11.04,1.56
1605864601,911.86,1783.11,11.07,1.56
1605866401,911.52,1779.15,11.10,1.56
1605868201,912.77,1779.34,11.14,1.56
1605870001,912.24,1777.68,11.07,1.56
1605871801,912.23,1781.83,11.07,1.56
1605873601,911.39,1780.27,11.13,1.56
1605875401,911.60,1780.46,10.98,1.56
1605877202,914.07,1786.51,11.16,1.56
1605879001,912.40,1775.36,11.10,1.56
1605880801,910.15,1772.00,11.08,1.56
1605882601,909.55,1774.74,11.14,1.56
1605884401,908.99,1772.31,11.03,1.56
1605886201,909.57,1769.14,11.07,1.56
1605888001,911.69,1778.16,11.19,1.56
1605889801,911.77,1777.29,11.04,1.56
1605891601,910.67,1776.50,11.10,1.56
1605893401,910.11,1774.21,11.37,1.56
1605895201,910.76,1774.32,10.80,1.56
1605897001,911.20,1775.50,11.04,1.56
1605898801,912.23,1778.59,11.07,1.56
1605900601,912.59,1784.95,11.14,1.56
1605902401,911.93,1775.44,11.20,1.56
