time,cpu,mem,diskRand,diskSeq
1605727801,975.96,8620.06,2.40,90.89
1605729601,1015.56,8974.29,2.39,94.37
1605731401,1016.62,8964.78,2.40,90.90
1605733201,1011.53,9006.95,2.40,80.05
1605735001,1015.26,8942.54,2.39,84.16
1605736801,1015.51,9039.02,2.40,95.80
1605738601,1017.18,9008.44,2.39,76.99
1605740401,1016.90,9024.87,2.40,91.76
1605742201,1017.16,9035.81,2.39,94.12
1605744001,1007.13,8996.50,2.39,86.69
1605745801,1015.71,9029.94,2.40,97.16
1605747601,1016.10,9044.00,2.40,92.03
1605749401,1016.13,9046.99,2.40,91.21
1605751201,1013.31,8988.16,2.39,97.09
1605753001,1018.11,9034.17,2.40,98.79
1605754801,1017.82,9042.02,2.39,99.53
1605756601,1015.91,9039.91,2.39,99.61
1605758401,1011.39,9022.71,2.40,99.54
1605760201,1013.39,9012.80,2.40,87.78
1605762001,1016.61,9028.86,2.40,100.80
1605763801,1012.58,9022.68,2.40,95.77
1605765601,1017.44,9036.08,2.40,93.72
1605767401,1016.23,9023.36,2.39,90.89
1605769201,1007.32,9024.84,2.40,90.75
1605771001,1014.72,8985.13,2.40,89.90
1605772801,1006.19,8940.50,2.40,72.47
1605774601,1008.52,8943.58,2.40,82.18
1605776401,1010.50,8911.98,2.39,84.70
1605778201,1010.12,9008.38,2.39,85.53
1605780001,1004.61,8961.19,2.39,78.92
1605781801,1006.14,8928.43,2.40,79.26
1605783601,1007.33,8937.46,2.39,73.43
1605785401,905.34,8827.42,2.39,67.81
1605787201,1011.36,8915.19,2.40,80.43
1605789001,1011.29,8993.15,2.39,87.65
1605790801,999.55,8971.21,2.39,82.26
1605792601,1011.52,8913.52,2.39,92.72
1605794401,1013.07,8986.94,2.40,89.75
1605796201,1003.69,8969.68,2.39,81.35
1605798001,1002.59,8871.91,2.39,86.88
1605799801,990.62,8570.37,2.39,84.37
1605801601,1007.30,8946.74,2.39,75.40
1605803401,1005.96,8809.02,2.39,84.47
1605805201,1011.69,8970.68,2.40,86.72
1605807001,996.46,8908.82,2.39,65.46
1605808801,992.31,8838.85,2.39,77.51
1605810601,1008.92,8901.72,2.40,87.50
1605812401,984.19,8796.75,2.39,59.73
1605814201,1003.39,8855.69,2.40,82.94
1605816001,999.54,8882.11,2.39,86.21
1605817801,1004.19,8981.13,2.40,87.35
1605819601,1008.52,8918.41,2.40,87.44
1605821401,1010.34,8980.98,2.40,95.66
1605823201,1012.19,9001.46,2.40,83.26
1605825001,1015.09,8968.81,2.40,97.63
1605826801,1015.03,9008.67,2.39,96.37
1605828601,1014.18,9012.53,2.39,82.83
1605830401,1010.68,8948.32,2.40,99.40
1605832201,1019.26,9070.13,2.40,103.38
1605834001,1016.21,9054.17,2.40,96.14
1605835801,1018.28,8993.96,2.40,105.52
1605837601,1019.15,9059.34,2.39,105.34
1605839401,1017.57,9060.71,2.39,99.39
1605841201,1020.04,8745.13,2.39,109.17
1605843001,1019.13,9056.06,2.40,107.35
1605844801,1019.23,9064.14,2.40,90.12
1605846601,1018.87,9014.95,2.39,106.47
1605848401,1018.91,9049.07,2.40,109.34
1605850201,1019.52,9054.83,2.40,85.57
1605852001,1017.33,8998.33,2.39,99.82
1605853801,1016.55,9028.38,2.40,94.49
1605855601,1013.30,8996.11,2.40,74.62
1605857401,1011.02,8904.49,2.39,74.00
1605859201,1005.74,8947.63,2.39,77.50
1605861001,965.78,8817.96,2.40,57.36
1605862801,1008.18,8946.13,2.40,82.78
1605864601,1005.78,8903.49,2.39,84.33
1605866401,997.43,8819.00,2.40,80.61
1605868201,1007.83,8916.34,2.40,77.48
1605870001,1002.94,8913.10,2.39,75.38
1605871801,1012.02,8608.30,2.40,84.28
1605873601,1007.86,8948.56,2.39,76.64
1605875401,992.10,8887.77,2.40,59.99
1605877201,1003.25,8899.38,2.40,74.53
1605879001,1009.01,8945.36,2.40,83.17
1605880801,983.76,8743.72,2.39,71.70
1605882601,998.20,8755.38,2.40,77.08
1605884401,1003.73,8827.09,2.39,63.92
1605886201,1004.41,8485.45,2.40,77.54
1605888001,1008.67,8944.60,2.40,102.73
1605889801,996.28,8938.85,2.40,96.56
1605891601,1003.97,8892.61,2.40,87.23
1605893401,1003.47,8876.78,2.39,97.92
1605895201,1004.83,8741.36,2.39,101.67
1605897001,1010.18,8955.07,2.39,100.05
1605898801,1006.68,8954.95,2.39,81.20
