time,cpu,mem,diskRand,diskSeq,fork,uplink
1608337371,1175.37,9819.34,88.90,85.77,6709.71,10148
1608337738,1180.14,9820.57,3.99,83.81,2383.81,3946
1608338100,1107.81,9820.50,3.89,84.19,7243.15,10001
1608338461,1179.94,9823.60,3.69,79.63,7398.46,9324
1608338822,1181.00,9830.67,3.78,77.83,7309.02,9734
1608339184,1181.53,9825.46,3.68,81.11,7141.56,9726
1608339545,1179.71,9811.80,3.39,78.41,7260.51,9649
1608339906,1180.71,9822.00,3.40,85.19,7136.63,9970
1608340267,1178.61,9817.13,3.30,82.91,7285.94,9708
1608340628,1179.21,9828.75,3.34,81.85,6497.57,9557
