time,cpu,mem,diskRand,diskSeq,fork,uplink
1608367557,1205.10,10643.32,2.39,120.22,9151.89,42266
1608367917,1205.80,10652.60,2.38,120.29,9157.10,48177
1608368277,1206.50,10650.65,2.39,120.28,9158.12,47391
1608368637,1206.00,10656.48,2.38,120.28,9044.94,48164
1608368997,1205.37,10653.17,1.55,120.26,9070.97,35045
1608369357,1206.02,10645.92,1.10,59.69,9111.14,45609
1608369717,1205.06,10654.61,1.10,60.00,8985.33,44420
1608370077,1201.13,10619.97,1.10,59.82,8654.01,37324
1608370437,1201.93,10604.05,1.10,59.90,8735.51,42046
1608370797,1201.83,10589.00,1.10,59.97,8700.04,36384
