time,cpu,mem,diskRand,diskSeq,fork,uplink
1608331087,275.68,813.71,38.12,37.49,331.88,1235
1608331471,273.60,813.80,38.11,38.22,332.76,1245
1608332067,275.66,814.37,36.71,37.19,322.02,1227
1608332453,274.59,830.20,38.70,37.89,320.00,1100
1608332839,274.57,792.32,37.58,37.95,324.21,1260
1608333224,275.99,799.54,38.26,37.75,337.89,1238
1608333606,275.65,772.64,36.74,37.70,320.18,1263
1608333992,275.89,742.31,37.57,37.34,323.80,1188
1608334377,276.85,751.66,37.25,38.17,326.33,1212
1608334762,274.45,814.09,38.33,37.70,328.05,1198
