time,cpu,mem,diskRand,diskSeq,fork,uplink
1608458778,1459.47,13530.20,88.00,240.95,36281.91,59209
1608459142,1526.58,13704.19,75.57,229.00,36246.10,60063
1608459506,1526.54,13703.85,75.53,229.45,36206.21,59327
1608459870,1526.95,13706.35,90.45,232.58,36481.80,59806
1608460233,1527.31,13711.26,78.00,228.08,36229.54,59101
1608460596,1526.53,13706.66,75.46,232.73,36216.05,59683
1608460959,1526.76,13706.54,75.26,229.69,36094.78,59695
1608461322,1526.68,13707.40,75.60,231.57,34341.16,57465
1608461686,1519.28,13703.63,75.53,228.74,36192.44,57847
1608462049,1526.86,13702.66,85.60,226.69,36267.51,60276
