time,cpu,mem,diskRand,diskSeq,fork,uplink
1608384153,1524.71,13200.58,47.23,180.58,37721.03,52901
1608384513,1523.95,13205.11,36.93,186.29,38034.93,52837
1608384873,1525.88,13204.30,28.51,183.75,37749.42,52976
1608385233,1524.78,13210.20,46.42,187.66,37735.66,52940
1608385593,1524.56,13200.19,53.63,182.03,37474.03,52689
1608385953,1521.36,13189.67,51.44,181.77,37346.91,53055
1608386313,1521.71,13205.11,42.78,182.65,37651.76,52867
1608386673,1524.71,13214.24,32.47,183.85,37688.28,52710
1608387033,1522.61,13197.91,53.21,181.22,37686.41,53261
1608387393,1522.11,13194.29,58.14,182.08,35054.52,51803
