time,cpu,mem,diskRand,diskSeq,fork,uplink
1608117037,1496.13,13405.17,77.08,326.53,35241.75,80776
1608117397,1527.03,13735.00,67.11,247.97,39813.63,83314
1608117757,1527.40,13734.77,67.29,250.22,39801.71,82084
1608118117,1527.47,13740.69,67.15,256.96,39819.12,80670
1608118477,1529.21,13741.48,67.65,262.51,39672.54,83715
1608118837,1527.08,13741.25,67.15,252.97,39818.78,81777
1608119197,1528.89,13742.32,67.51,262.02,39650.85,83846
1608119557,1526.79,13738.63,67.28,285.20,39826.32,83259
1608119917,1527.71,13739.60,67.12,242.31,39813.48,82202
1608120277,1526.76,13739.84,67.07,254.68,39824.37,83372
