time,cpu,mem,diskRand,diskSeq,fork,uplink
1608127911,170.20,970.19,34.14,63.81,498.62,2841
1608128285,169.16,954.60,32.85,65.31,499.80,2799
1608128659,170.67,971.74,27.00,61.86,498.80,2846
1608129032,169.27,966.25,26.68,65.43,490.20,2901
1608129407,170.75,971.65,26.92,68.01,498.88,3335
1608129782,170.18,946.80,26.49,60.67,493.30,2858
1608130157,170.85,941.42,25.64,60.91,495.88,2873
1608130531,169.56,941.19,32.81,60.07,475.71,3357
1608130905,170.74,929.25,34.16,61.20,479.42,2865
1608131279,169.55,948.82,24.83,65.67,489.77,2876
