time,cpu,mem,diskRand,diskSeq,fork,uplink
1608124278,1524.15,13205.61,432.01,447.38,36491.36,43565
1608124638,1524.56,13209.96,445.85,452.55,36496.91,44224
1608124998,1523.97,13129.35,423.03,435.22,37180.48,45491
1608125358,1524.32,13206.59,437.23,428.86,35981.26,52200
1608125718,1523.83,13197.26,430.37,424.70,36088.06,51459
1608126078,1524.17,13205.06,428.99,436.06,36176.94,51988
1608126438,1522.89,13209.66,436.23,428.03,36017.12,51703
1608126798,1523.71,13199.76,445.99,433.29,35560.65,51286
1608127158,1524.55,13168.05,424.23,424.49,33421.40,51308
1608127518,1523.96,13203.83,430.91,431.17,33196.99,50071
