time,cpu,mem,diskRand,diskSeq,fork,uplink
1608127911,170.54,927.75,78.76,85.17,486.29,2813
1608128285,170.35,920.39,89.17,84.06,486.54,2772
1608128659,170.68,932.06,83.14,87.14,485.23,2973
1608129032,169.28,923.30,92.15,86.16,479.40,2659
1608129407,169.02,935.54,85.68,87.46,480.60,2836
1608129782,169.95,973.94,83.78,92.60,477.71,3122
1608130157,157.04,926.61,82.84,85.84,483.07,2870
1608130531,170.15,920.04,89.96,86.62,481.70,2827
1608130905,170.20,949.66,85.06,86.27,485.46,2814
1608131279,170.14,940.14,85.84,83.36,476.59,2784
