time,cpu,mem,diskRand,diskSeq,fork,uplink
1608322864,1204.57,10629.93,1.10,60.10,8118.41,28805
1608323226,1204.53,10636.37,1.10,60.09,8079.46,29583
1608323589,1204.58,10635.86,1.11,60.01,8147.75,27085
1608323952,1201.35,10637.14,1.10,60.15,8047.60,28136
1608324313,1202.32,10618.43,1.10,59.84,8058.86,28253
1608324676,1203.27,10615.53,1.10,60.18,8060.02,28680
1608325038,1203.62,10626.04,1.10,60.18,8009.03,27746
1608325399,1203.98,10629.15,1.10,60.06,8047.67,28385
1608325762,1203.18,10618.73,1.10,60.14,8062.73,27974
1608326124,1204.56,10623.39,1.10,60.12,8099.05,28185
