time,cpu,mem,diskRand,diskSeq,fork,uplink
1608124278,1524.71,13200.58,47.23,180.58,36491.36,52901
1608124638,1523.95,13205.11,36.93,186.29,36496.91,52837
1608124998,1525.88,13204.30,28.51,183.75,37180.48,52976
1608125358,1524.78,13210.20,46.42,187.66,35981.26,52940
1608125718,1524.56,13200.19,53.63,182.03,36088.06,52689
1608126078,1521.36,13189.67,51.44,181.77,36176.94,53055
1608126438,1521.71,13205.11,42.78,182.65,36017.12,52867
1608126798,1524.71,13214.24,32.47,183.85,35560.65,52710
1608127158,1522.61,13197.91,53.21,181.22,34421.40,53261
1608127518,1522.11,13194.29,58.14,182.08,34196.99,51803
